id,f,l,H,dg
1,40.47327544,23.09026225,94.615,-7.90964
1,40.46339994,23.09283646,177.453,-4.64819
1,40.45606986,23.09174636,254.254,-2.44574
1,40.44808014,23.08911411,264.564,-5.06633
1,40.43939624,23.094261,207.466,-4.57406
1,40.43264667,23.09839606,180.381,-4.05305
1,40.43802569,23.09092282,230.6,-5.19988
1,40.43316078,23.08045687,187.383,-6.80446
1,40.42954055,23.07485227,182.509,-7.09815
1,40.43224584,23.05780813,232.767,-6.30415
1,40.43334679,23.04660431,220.437,-5.56761
1,40.42653034,23.04299316,189.051,-7.93436
1,40.42690552,23.03286651,195.218,-8.89634
1,40.42784021,23.02476911,172.726,-8.81491
1,40.42089695,23.02250753,155.793,-9.26128
1,40.41387415,23.02265814,127.504,-9.19646
1,40.40575015,23.02665633,113.303,-10.4636
1,40.39844747,23.03157472,123.556,-10.4473
1,40.39573401,23.03523923,123.592,33.5049
1,40.39861331,23.0471907,110.56,-9.97488
1,40.39339737,23.05411942,107.565,-10.3719
1,40.60612861,22.96367735,14.8,25.08
1,40.60354604,22.96193052,22.7,28.5299
1,40.59433911,22.96485537,39.465,24.1957
1,40.5868983,22.97038893,43.914,19.9915
1,40.58400712,22.97377708,68.957,19.0334
1,40.57692904,22.97324537,47.863,15.7131
1,40.56802768,22.97681927,24.524,12.2932
1,40.56701185,22.98538943,49.055,11.9185
1,40.56396805,22.98863757,37.144,11.5497
1,40.56020112,22.99162574,31.429,10.4458
1,40.5539552,22.99882724,38.072,8.03101
1,40.54727357,23.00528137,30.993,5.74086
1,40.54269003,23.00609552,24.599,3.82497
1,40.53878766,23.00780238,23.966,2.95051
1,40.53007266,23.0126684,18.98,1.23544
1,40.52240912,23.01060763,8.86,-0.583821
1,40.51391687,23.00869934,10.266,-2.58729
1,40.50439923,23.00578312,22.198,-2.46913
1,40.49692028,23.00110984,38.5,-1.43947
1,40.48699569,22.99685739,98.909,-0.963284
1,40.48180889,22.99236874,145.119,-2.22066
1,40.46777587,22.99471326,190.054,-5.89777
1,40.458336,23.00070302,231.647,-8.499
1,40.44109255,23.0119964,220.807,-7.56963
1,40.43183323,23.01735561,187.468,-8.0584
1,40.38818784,23.03643491,110.289,-11.3223
1,40.34921583,23.06001523,69.444,-11.0874
1,40.31690788,23.0790288,54.985,-11.4289
1,40.28972573,23.14539913,24.236,-14.1372
1,40.28082004,23.19188412,17.376,-12.3726
1,40.48926216,23.12132846,55.756,-9.27763
1,40.48677488,23.12655992,58.884,-8.82764
1,40.48177612,23.13028843,60.36,-9.78669
1,40.47541995,23.13479931,72.496,-10.471
1,40.46694847,23.13239074,101.619,-9.22525
1,40.46053106,23.13469646,145.178,-8.14749
1,40.45347139,23.12989521,192.261,-10.1031
1,40.45298139,23.12132478,232.477,-7.13262
1,40.44648352,23.12024559,367.439,-6.83649
1,40.4440315,23.12812509,426.186,-6.23175
1,40.43793598,23.13518518,440.557,-6.28568
1,40.43329203,23.13198926,382.449,-7.51981
1,40.43227528,23.12444348,345.241,-6.78154
1,40.43767218,23.11241457,281.223,-6.96009
1,40.4309849,23.1002786,172.357,-10.23
1,40.43270494,23.09441889,210.96,-11.1601
1,40.42505916,23.09645017,201.981,-12.1863
1,40.41595761,23.09719256,174.701,-12.9098
1,40.40287035,23.10000826,112.51,-16.9589
1,40.39941438,23.09675273,107.39,-13.0545
1,40.39776729,23.09091513,96.786,-15.0988
1,40.39126642,23.06036955,114.768,-9.45976
1,40.39126642,23.06036955,114.768,-17.4234
1,40.43378844,23.13808708,415.346,-6.70394
1,40.43258878,23.14487805,454.879,-6.57489
1,40.42401752,23.14622698,408.039,-7.63328
1,40.41270834,23.14952568,347.1,-10.7161
1,40.40382783,23.15283037,261.017,-9.91263
1,40.3988623,23.15651769,282.65,-10.9881
1,40.39345147,23.15949784,286.34,-12.0766
1,40.38402354,23.16143953,316.572,-12.9969
1,40.37434556,23.16020604,286.122,-14.7083
1,40.36789523,23.15940751,253.435,-14.8002
1,40.36243972,23.1616322,226.012,-13.6414
1,40.36243745,23.16162104,225.973,-13.6976
1,40.38362604,23.16455648,209.439,-28.2106
1,40.38996911,23.16092998,176.865,-30.2524
1,40.2583942,23.27584289,25.379,-3.03433
1,40.27848589,23.26046738,46.332,-5.68543
1,40.29959137,23.22240019,60.885,-17.9615
1,40.30967745,23.20228456,114.259,-18.771
1,40.31631776,23.19532159,132.308,-15.7126
1,40.32319244,23.18483716,129.008,-14.178
1,40.33254304,23.17601103,124.206,-14.8211
1,40.33958135,23.16533096,150.888,-14.8504
1,40.35080333,23.16261754,193.699,-12.4823
1,40.36264718,23.16119368,227.27,-13.9115
1,40.36814179,23.15954717,253.603,-14.8262
1,40.37606502,23.1605524,293.767,-14.0794
1,40.38362604,23.16133908,317.474,-13.1467
1,40.38996911,23.06847992,121.056,-17.0483
